dist_hospitals,2010_VD_K5,2010_BD_K13,dist_hotels,elevation,slope,latitudes,longitudes,growth_10_20
0.49057624050362203,-0.6966223301639209,0.22183912269212333,0.4644934672401011,-0.31621007169441084,-0.6113293039734456,3063960.8,325857.97,1
0.6113681838455135,1.306363161635548,-0.18257728504646248,0.5264652300354977,-0.5796124025316972,-0.4544673416971215,3066030.8,328707.97,1
0.696516285048305,-0.6966223301639209,0.3296835102395467,0.48348953958634433,-0.6389707083771837,-0.6645028385372521,3068940.8,331257.97,1
0.4942245486491128,0.10457186655586663,-0.5869937383493001,0.17002764209526136,-0.4423464283726239,-0.968598973762024,3064800.8,326127.97,1
0.983079292871713,-0.6966223301639209,1.003710932410943,0.9705113315226406,-0.6389707083771837,-1.1098588365877657,3066750.8,340047.97,1
0.8702724961440734,-0.39617450639400065,1.3272440494889608,1.0289644033049654,-0.69832901422267,-1.1352515458971322,3067530.8,331947.97,1
0.394124816085456,0.5051689649157604,-0.7217992227835793,-0.80541871960197,-0.30137037415139195,-0.9209122724202662,3070080.8,346377.97,1
0.9982179343052553,-0.6966223301639209,0.006150302033024628,0.91710591597018,-0.7242982600570367,-0.928792464223769,3062430.8,335847.97,1
0.8775433247824984,-0.6966223301639209,2.243921206949304,1.0016731956341192,-0.523963969179831,-0.9562596141227435,3065430.8,338337.97,1
0.967710149497623,-0.09572668262408031,2.270882440528916,1.2063522495517363,-0.357018807503258,0.4916636400098278,3062790.8,330237.97,1
0.8576333229346105,-0.6966223301639209,1.7586215996786547,0.32340745399432563,-0.6760696408819235,-0.7414536984711472,3061980.8,340707.97,1
0.48654057206174245,-0.6966223301639209,0.5184111884475376,1.0238091827586353,-0.3718582282882257,-0.8441845165446761,3072720.8,337827.97,1
0.7909037550207657,0.40501969032578694,0.4375278522227183,0.7785023373076017,-0.523963969179831,-0.9064985061462765,3065910.8,339987.97,1
0.9458764383606278,-0.6966223301639209,1.4350885281648882,0.9551831488533036,-0.5388035283438245,-0.41665672827648254,3065820.8,338097.97,1
1.047185215096088,-0.6966223301639209,1.0845941775072585,0.7575283658884308,-0.48315509499195813,-0.8194831357666309,3070980.8,335397.97,1
