FeatureName,Epoch1,Epoch2
BD_K3,0.36936972358765074,0.049857361386506545
BD_K5,0.13361320902803112,0.16359388608962486
BD_K7,0.049379333237108504,0.01115231879401224
BD_K9,0.14925077291587088,0.054489424692039067
BD_K11,0.06787811850422354,-0.3203500694019447
BD_K13,0.34542589600949025,0.7185634816705927
VD_K5,-0.37775944076696305,-0.8544461930082147
AD_K5,-0.18016860308614413,-0.11464350292613784
dist_builtup,0.5746400144273188,0.15137475628274527
r1_dist,0.23222338019803992,-0.11931038905050131
r2_dist,-0.05716961593042926,0.005649724976521966
r3_dist,-0.12171533829606407,-0.021481463544274645
dist_hospitals,0.6198651153475592,0.9927112277748132
dist_hotels,0.192867190656521,0.4535388182890648
dist_water,0.13879216779330544,0.1305949834859563
elevation,-0.49428282939945056,-0.4373086769033478
slope,-0.35104813348979513,-0.359650626601607
